service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20221211,20231208
2,0,0,0,0,0,0,0,20221211,20231209
3,0,0,0,0,0,0,0,20231210,20240204
4,0,0,0,0,0,0,0,20240205,20240408
5,0,0,0,0,0,0,0,20221211,20231203
6,0,0,0,0,0,0,0,20221211,20231209
7,0,0,0,0,0,0,0,20221212,20231208
8,0,0,0,0,0,0,0,20221211,20231209
9,0,0,0,0,0,0,0,20231210,20240408
10,0,0,0,0,0,0,0,20221212,20231208
11,0,0,0,0,0,0,0,20221211,20231203
12,0,0,0,0,0,0,0,20231211,20240408
13,0,0,0,0,0,0,0,20231210,20240204
14,0,0,0,0,0,0,0,20221211,20231209
15,0,0,0,0,0,0,0,20231210,20240407
16,0,0,0,0,0,0,0,20240127,20240128
17,0,0,0,0,0,0,0,20221211,20231209
18,0,0,0,0,0,0,0,20231210,20240408
19,0,0,0,0,0,0,0,20221211,20231203
20,0,0,0,0,0,0,0,20230814,20231208
21,0,0,0,0,0,0,0,20230819,20231209
22,0,0,0,0,0,0,0,20231210,20240407
23,0,0,0,0,0,0,0,20231211,20240408
24,0,0,0,0,0,0,0,20231216,20240406
25,0,0,0,0,0,0,0,20221212,20231208
26,0,0,0,0,0,0,0,20221212,20231208
27,0,0,0,0,0,0,0,20221212,20231208
28,0,0,0,0,0,0,0,20221212,20231208
29,0,0,0,0,0,0,0,20221212,20231208
30,0,0,0,0,0,0,0,20221212,20231208
31,0,0,0,0,0,0,0,20221212,20231208
32,0,0,0,0,0,0,0,20221217,20231209
33,0,0,0,0,0,0,0,20221217,20231209
34,0,0,0,0,0,0,0,20230215,20231208
35,0,0,0,0,0,0,0,20221221,20231208
36,0,0,0,0,0,0,0,20221221,20231208
37,0,0,0,0,0,0,0,20221221,20231208
38,0,0,0,0,0,0,0,20230109,20231208
39,0,0,0,0,0,0,0,20230114,20231209
40,0,0,0,0,0,0,0,20230115,20231203
41,0,0,0,0,0,0,0,20231210,20240408
42,0,0,0,0,0,0,0,20230218,20231209
43,0,0,0,0,0,0,0,20230814,20231208
44,0,0,0,0,0,0,0,20230820,20231203
45,0,0,0,0,0,0,0,20230227,20231208
46,0,0,0,0,0,0,0,20230227,20231209
47,0,0,0,0,0,0,0,20231211,20240408
48,0,0,0,0,0,0,0,20230302,20231209
49,0,0,0,0,0,0,0,20230305,20231203
50,0,0,0,0,0,0,0,20230814,20231208
51,0,0,0,0,0,0,0,20230819,20231209
52,0,0,0,0,0,0,0,20231210,20240324
53,0,0,0,0,0,0,0,20231211,20240328
54,0,0,0,0,0,0,0,20231216,20240323
55,0,0,0,0,0,0,0,20240329,20240408
56,0,0,0,0,0,0,0,20230306,20231208
57,0,0,0,0,0,0,0,20230331,20231208
58,0,0,0,0,0,0,0,20230401,20231209
59,0,0,0,0,0,0,0,20231125,20231125
60,0,0,0,0,0,0,0,20231126,20231126
61,0,0,0,0,0,0,0,20231127,20231201
62,0,0,0,0,0,0,0,20231202,20231202
63,0,0,0,0,0,0,0,20231203,20231203
64,0,0,0,0,0,0,0,20231210,20240407
65,0,0,0,0,0,0,0,20231217,20240204
66,0,0,0,0,0,0,0,20240107,20240128
67,0,0,0,0,0,0,0,20230401,20231209
68,0,0,0,0,0,0,0,20230403,20231208
69,0,0,0,0,0,0,0,20231127,20231127
70,0,0,0,0,0,0,0,20231128,20231130
71,0,0,0,0,0,0,0,20231201,20231201
72,0,0,0,0,0,0,0,20231210,20240407
73,0,0,0,0,0,0,0,20231215,20240202
74,0,0,0,0,0,0,0,20240105,20240126
75,0,0,0,0,0,0,0,20230515,20231208
76,0,0,0,0,0,0,0,20230515,20231208
77,0,0,0,0,0,0,0,20230518,20231203
78,0,0,0,0,0,0,0,20230515,20231208
79,0,0,0,0,0,0,0,20230516,20231208
80,0,0,0,0,0,0,0,20230826,20231209
81,0,0,0,0,0,0,0,20230517,20231208
82,0,0,0,0,0,0,0,20230518,20231203
83,0,0,0,0,0,0,0,20230918,20231208
84,0,0,0,0,0,0,0,20230518,20231203
85,0,0,0,0,0,0,0,20230520,20231209
86,0,0,0,0,0,0,0,20230814,20231208
87,0,0,0,0,0,0,0,20230520,20231209
88,0,0,0,0,0,0,0,20230520,20231209
89,0,0,0,0,0,0,0,20230814,20231208
90,0,0,0,0,0,0,0,20231002,20231209
91,0,0,0,0,0,0,0,20230824,20231207
92,0,0,0,0,0,0,0,20230624,20231209
93,0,0,0,0,0,0,0,20230619,20231208
94,0,0,0,0,0,0,0,20231224,20231224
95,0,0,0,0,0,0,0,20230623,20231209
96,0,0,0,0,0,0,0,20231216,20240406
97,0,0,0,0,0,0,0,20231224,20231231
98,0,0,0,0,0,0,0,20230623,20231209
99,0,0,0,0,0,0,0,20230619,20231208
100,0,0,0,0,0,0,0,20230619,20231208
101,0,0,0,0,0,0,0,20240329,20240406
102,0,0,0,0,0,0,0,20240402,20240408
103,0,0,0,0,0,0,0,20230612,20231208
104,0,0,0,0,0,0,0,20230819,20231209
105,0,0,0,0,0,0,0,20231007,20231209
106,0,0,0,0,0,0,0,20230619,20231208
107,0,0,0,0,0,0,0,20230617,20231209
108,0,0,0,0,0,0,0,20231002,20231205
109,0,0,0,0,0,0,0,20231004,20231208
110,0,0,0,0,0,0,0,20231210,20240407
111,0,0,0,0,0,0,0,20230623,20231209
112,0,0,0,0,0,0,0,20231008,20231203
113,0,0,0,0,0,0,0,20231210,20240407
114,0,0,0,0,0,0,0,20231225,20231225
115,0,0,0,0,0,0,0,20230612,20231208
116,0,0,0,0,0,0,0,20230612,20231209
117,0,0,0,0,0,0,0,20231210,20240408
118,0,0,0,0,0,0,0,20230624,20231203
119,0,0,0,0,0,0,0,20231210,20240407
120,0,0,0,0,0,0,0,20231231,20231231
121,0,0,0,0,0,0,0,20230617,20231209
122,0,0,0,0,0,0,0,20231002,20231208
123,0,0,0,0,0,0,0,20231210,20240407
124,0,0,0,0,0,0,0,20230612,20231209
125,0,0,0,0,0,0,0,20230612,20231208
126,0,0,0,0,0,0,0,20230710,20231208
127,0,0,0,0,0,0,0,20230617,20231209
128,0,0,0,0,0,0,0,20231210,20240408
129,0,0,0,0,0,0,0,20240329,20240401
130,0,0,0,0,0,0,0,20230617,20231209
131,0,0,0,0,0,0,0,20230710,20231208
132,0,0,0,0,0,0,0,20230617,20231209
133,0,0,0,0,0,0,0,20231216,20240406
134,0,0,0,0,0,0,0,20240329,20240330
135,0,0,0,0,0,0,0,20230617,20231209
136,0,0,0,0,0,0,0,20231211,20240408
137,0,0,0,0,0,0,0,20230618,20231203
138,0,0,0,0,0,0,0,20231210,20240407
139,0,0,0,0,0,0,0,20240331,20240401
140,0,0,0,0,0,0,0,20230612,20231208
141,0,0,0,0,0,0,0,20230617,20231209
142,0,0,0,0,0,0,0,20231210,20240408
143,0,0,0,0,0,0,0,20230612,20231209
144,0,0,0,0,0,0,0,20230612,20231209
145,0,0,0,0,0,0,0,20230612,20231208
146,0,0,0,0,0,0,0,20240331,20240331
147,0,0,0,0,0,0,0,20240401,20240401
148,0,0,0,0,0,0,0,20230618,20231203
149,0,0,0,0,0,0,0,20230612,20231208
150,0,0,0,0,0,0,0,20230612,20231209
151,0,0,0,0,0,0,0,20231125,20231126
152,0,0,0,0,0,0,0,20231210,20240408
153,0,0,0,0,0,0,0,20240328,20240328
154,0,0,0,0,0,0,0,20240329,20240331
155,0,0,0,0,0,0,0,20230618,20231203
156,0,0,0,0,0,0,0,20230612,20231208
