service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20231211,20240408
2,0,0,0,0,0,0,0,20240406,20240406
3,0,0,0,0,0,0,0,20240506,20240831
4,0,0,0,0,0,0,0,20240409,20240504
5,0,0,0,0,0,0,0,20240427,20240427
6,0,0,0,0,0,0,0,20240525,20240525
7,0,0,0,0,0,0,0,20240601,20240615
8,0,0,0,0,0,0,0,20231210,20240408
9,0,0,0,0,0,0,0,20240409,20240901
10,0,0,0,0,0,0,0,20240504,20240505
11,0,0,0,0,0,0,0,20240513,20240519
12,0,0,0,0,0,0,0,20240610,20240610
13,0,0,0,0,0,0,0,20240611,20240611
14,0,0,0,0,0,0,0,20240706,20240706
15,0,0,0,0,0,0,0,20240720,20240721
16,0,0,0,0,0,0,0,20240409,20240901
17,0,0,0,0,0,0,0,20240506,20240506
18,0,0,0,0,0,0,0,20240507,20240507
19,0,0,0,0,0,0,0,20240508,20240508
20,0,0,0,0,0,0,0,20231210,20240407
21,0,0,0,0,0,0,0,20231211,20240327
22,0,0,0,0,0,0,0,20240328,20240328
23,0,0,0,0,0,0,0,20240402,20240427
24,0,0,0,0,0,0,0,20240414,20240623
25,0,0,0,0,0,0,0,20240410,20240411
26,0,0,0,0,0,0,0,20240412,20240412
27,0,0,0,0,0,0,0,20240413,20240413
28,0,0,0,0,0,0,0,20240429,20240531
29,0,0,0,0,0,0,0,20240504,20240504
30,0,0,0,0,0,0,0,20240505,20240505
31,0,0,0,0,0,0,0,20240510,20240510
32,0,0,0,0,0,0,0,20240511,20240511
33,0,0,0,0,0,0,0,20240518,20240518
34,0,0,0,0,0,0,0,20240601,20240601
35,0,0,0,0,0,0,0,20240603,20240628
36,0,0,0,0,0,0,0,20240629,20240629
37,0,0,0,0,0,0,0,20240630,20240630
38,0,0,0,0,0,0,0,20240701,20240701
39,0,0,0,0,0,0,0,20240702,20240707
40,0,0,0,0,0,0,0,20240708,20240712
41,0,0,0,0,0,0,0,20240713,20240713
42,0,0,0,0,0,0,0,20240714,20240714
43,0,0,0,0,0,0,0,20240715,20240811
44,0,0,0,0,0,0,0,20240812,20240831
45,0,0,0,0,0,0,0,20240818,20240901
46,0,0,0,0,0,0,0,20231210,20240327
47,0,0,0,0,0,0,0,20231216,20240323
48,0,0,0,0,0,0,0,20240401,20240407
49,0,0,0,0,0,0,0,20240402,20240409
50,0,0,0,0,0,0,0,20240410,20240627
51,0,0,0,0,0,0,0,20240412,20240628
52,0,0,0,0,0,0,0,20240414,20240414
53,0,0,0,0,0,0,0,20240420,20240427
54,0,0,0,0,0,0,0,20240519,20240519
55,0,0,0,0,0,0,0,20240525,20240621
56,0,0,0,0,0,0,0,20240812,20240829
57,0,0,0,0,0,0,0,20240816,20240901
58,0,0,0,0,0,0,0,20240817,20240831
59,0,0,0,0,0,0,0,20231210,20240324
60,0,0,0,0,0,0,0,20231211,20240409
61,0,0,0,0,0,0,0,20240401,20240401
62,0,0,0,0,0,0,0,20240406,20240407
63,0,0,0,0,0,0,0,20240410,20240628
64,0,0,0,0,0,0,0,20240421,20240901
65,0,0,0,0,0,0,0,20240526,20240526
66,0,0,0,0,0,0,0,20240601,20240621
67,0,0,0,0,0,0,0,20240702,20240706
68,0,0,0,0,0,0,0,20240707,20240707
69,0,0,0,0,0,0,0,20240708,20240810
70,0,0,0,0,0,0,0,20240812,20240830
71,0,0,0,0,0,0,0,20231211,20240327
72,0,0,0,0,0,0,0,20240401,20240407
73,0,0,0,0,0,0,0,20240410,20240628
74,0,0,0,0,0,0,0,20240421,20240623
75,0,0,0,0,0,0,0,20240624,20240624
76,0,0,0,0,0,0,0,20240702,20240705
77,0,0,0,0,0,0,0,20240706,20240713
78,0,0,0,0,0,0,0,20240707,20240714
79,0,0,0,0,0,0,0,20240708,20240809
80,0,0,0,0,0,0,0,20240720,20240810
81,0,0,0,0,0,0,0,20240721,20240811
82,0,0,0,0,0,0,0,20231211,20240327
83,0,0,0,0,0,0,0,20240407,20240407
84,0,0,0,0,0,0,0,20240410,20240412
85,0,0,0,0,0,0,0,20240415,20240427
86,0,0,0,0,0,0,0,20240421,20240623
87,0,0,0,0,0,0,0,20240429,20240524
88,0,0,0,0,0,0,0,20240601,20240628
89,0,0,0,0,0,0,0,20240527,20240621
90,0,0,0,0,0,0,0,20240629,20240630
91,0,0,0,0,0,0,0,20240714,20240811
92,0,0,0,0,0,0,0,20240812,20240831
93,0,0,0,0,0,0,0,20240817,20240817
94,0,0,0,0,0,0,0,20240818,20240818
95,0,0,0,0,0,0,0,20240825,20240901
96,0,0,0,0,0,0,0,20231211,20240327
97,0,0,0,0,0,0,0,20231210,20240327
98,0,0,0,0,0,0,0,20240415,20240428
99,0,0,0,0,0,0,0,20240429,20240524
100,0,0,0,0,0,0,0,20240525,20240526
101,0,0,0,0,0,0,0,20240527,20240628
102,0,0,0,0,0,0,0,20240812,20240901
103,0,0,0,0,0,0,0,20231210,20240324
