Operational Point;Type of operational point;Unique OP ID;Name of Operational point;OP TAF TAP primary code;Geographical location of Operational Point;Validity start date;Validity end date
Stockholms central;station;SECst;Stockholms central;SE03751;59,33, 18,0573;1970-01-01;3100-12-31
Göteborg Central;station;SEG;Göteborg Central;SE01318;57,7089, 11,9739;1970-01-01;3100-12-31
Ånge godsbangård;shunting yard;SEÅggb;Ånge godsbangård;SE04720;62,5254, 15,6428;1970-01-01;3100-12-31
Alingsås;small station;SEA;Alingsås;SE00119;57,9269, 12,5322;1970-01-01;3100-12-31
Alväng;junction;SEAä;Alväng;SE10006;59,379, 15,566;1970-01-01;3100-12-31
Annedal;junction;SEAal;Annedal;SE10008;56,1276, 12,9296;1970-01-01;3100-12-31
Arbrå;small station;SEAb;Arbrå;SE00169;61,471, 16,3798;1970-01-01;3100-12-31
Agnesberg;junction;SEAgb;Agnesberg;SE00112;57,7811, 12,0071;1970-01-01;3100-12-31
Algutsgården;junction;SEAgg;Algutsgården;SE10002;57,9881, 12,6519;1970-01-01;3100-12-31
Aleholm;junction;SEAhm;Aleholm;SE10001;57,3982, 14,6635;1970-01-01;3100-12-31
Arvidsjaur;small station;SEAjr;Arvidsjaur;SE00185;65,5887, 19,1685;1970-01-01;3100-12-31
Abisko östra;small station;SEAk;Abisko östra;SE00106;68,3486, 18,8303;1970-01-01;3100-12-31
Arlöv;junction;SEAl;Arlöv;SE00177;55,6339, 13,0684;1970-01-01;3100-12-31
Almnäs;junction;SEAlä;Almnäs;SE10004;59,1694, 17,5078;1970-01-01;3100-12-31
Alvhem;small station;SEAlh;Alvhem;SE10005;58,0108, 12,1577;1970-01-01;3100-12-31
Almedal;junction;SEAm;Almedal;SE10003;57,684, 12,004;1970-01-01;3100-12-31
Arnemark;junction;SEAmk;Arnemark;SE10014;65,4913, 21,2179;1970-01-01;3100-12-31
Arvån;junction;SEAn;Arvån;SE10016;64,5584, 19,003;1970-01-01;3100-12-31
Anundsjö;junction;SEAnö;Anundsjö;SE10009;63,4266, 18,1438;1970-01-01;3100-12-31
Aspeå;junction;SEAp;Aspeå;SE10017;63,3877, 17,5136;1970-01-01;3100-12-31
Aplared;junction;SEApd;Aplared;SE04998;57,6512, 13,0744;1970-01-01;3100-12-31
Aptas;junction;SEApt;Aptas;SE10010;67,7641, 20,4434;1970-01-01;3100-12-31
Arvika;small station;SEAr;Arvika;SE00186;59,6536, 12,5908;1970-01-01;3100-12-31
Arnäsvall;junction;SEAra;Arnäsvall;SE00229;63,308, 18,7859;1970-01-01;3100-12-31
Arboga;small station;SEArb;Arboga;SE00167;59,3972, 15,8405;1970-01-01;3100-12-31
Arlanda central;small station;SEArnc;Arlanda central;SE00194;59,6491, 17,9285;1970-01-01;3100-12-31
Arlanda nedre;junction;SEArne;Arlanda nedre;SE10011;59,6327, 17,9231;1970-01-01;3100-12-31
Arlanda norra;small station;SEArnn;Arlanda norra;SE00227;59,6515, 17,9298;1970-01-01;3100-12-31
Arlanda södra;small station;SEArns;Arlanda södra;SE10012;59,6468, 17,9283;1970-01-01;3100-12-31
Attarp;junction;SEAtp;Attarp;SE10019;56,1372, 13,8487;1970-01-01;3100-12-31
Alvesta;small station;SEAv;Alvesta;SE00144;56,898, 14,5562;1970-01-01;3100-12-31
Avaviken;small station;SEAva;Avaviken;SE00210;65,6051, 18,6509;1970-01-01;3100-12-31
Avesta Krylbo;small station;SEAvky;Avesta Krylbo;SE00214;60,1295, 16,2161;1970-01-01;3100-12-31
Axmarby;junction;SEAx;Axmarby;SE10021;61,0074, 17,1136;1970-01-01;3100-12-31
Alby;junction;SEAy;Alby;SE00116;62,4901, 15,4747;1970-01-01;3100-12-31
Björnlunda;junction;SEB;Björnlunda;SE10038;59,0656, 17,1547;1970-01-01;3100-12-31
Backsjön;junction;SEBaö;Backsjön;SE10022;63,3247, 17,2995;1970-01-01;3100-12-31
Barkåkra;small station;SEBaa;Barkåkra;SE10663;56,2937, 12,8246;1970-01-01;3100-12-31
Blyberg;junction;SEBbe;Blyberg;SE00368;61,1533, 14,1378;1970-01-01;3100-12-31
Boden central;small station;SEBdn;Boden central;SE00389;65,8288, 21,7081;1970-01-01;3100-12-31
Broddbo;junction;SEBdo;Broddbo;SE10053;59,9869, 16,4819;1970-01-01;3100-12-31
Bodens södra;junction;SEBds;Bodens södra;SE00390;65,8255, 21,6474;1970-01-01;3100-12-31
Backe;junction;SEBe;Backe;SE00230;63,8073, 16,4269;1970-01-01;3100-12-31
Bredviken;junction;SEBen;Bredviken;SE10050;65,8374, 23,2332;1970-01-01;3100-12-31
Bruksberget;junction;SEBet;Bruksberget;SE10055;66,0036, 22,7136;1970-01-01;3100-12-31
Brunflo;small station;SEBf;Brunflo;SE00495;63,076, 14,8326;1970-01-01;3100-12-31
Billingsfors;small station;SEBfo;Billingsfors;SE00291;58,982, 12,2497;1970-01-01;3100-12-31
Bergfors;junction;SEBfs;Bergfors;SE00262;68,1473, 19,7827;1970-01-01;3100-12-31
Berga;small station;SEBg;Berga;SE00259;57,2165, 16,0334;1970-01-01;3100-12-31
Bryngenäs;junction;SEBgs;Bryngenäs;SE10059;57,8978, 12,4876;1970-01-01;3100-12-31
Bälgviken;junction;SEBgv;Bälgviken;SE10072;59,2527, 16,4606;1970-01-01;3100-12-31
