Section Of Line;Infrastructure Manager's Code;National line ID;Length;Name of start Operational Point;Start Unique OP ID;Name of end Operational Point;End Unique OP ID;Track URI;Normal running direction;Load capability line category;Load capability speed;Gauging
Bryn stasjon-Brobekk stasjon;0076;NO-BN-01;2,11 km;Bryn stasjon;NO0210-02010;Brobekk stasjon;NO0210-02012;track:NO-BN-01_NO0210-02010_0210-00002_1_NO0210-02012;N;D2;70;no data
Hellerud stasjon-Lillestrøm stasjon;0076;NO-BN-01;14,75 km;Hellerud stasjon;NO0270-02210;Lillestrøm stasjon;NO0270-02070;track:NO-BN-01_NO0270-02210_0270-00002_1_NO0270-02070;N;E4;210;no data
Bekkelaget stasjon-Ljan stasjon;0076;NO-BN-01;2,85 km;Bekkelaget stasjon;NO0540-05007;Ljan stasjon;NO0540-05020;track:NO-BN-01_NO0540-05007_0540-00002_1_NO0540-05020;N;D4;70;no data
Holmlia stasjon-Kolbotn stasjon;0076;NO-BN-01;3,01 km;Holmlia stasjon;NO0540-05035;Kolbotn stasjon;NO0540-05040;track:NO-BN-01_NO0540-05035_0540-00004_1_NO0540-05040;N;D4;60;no data
Vestby stasjon-Hølen stasjon;0076;NO-BN-01;6,55 km;Vestby stasjon;NO0550-05110;Hølen stasjon;NO0550-05115;track:NO-BN-01_NO0550-05110_0550-00003_1_NO0550-05115;N;D4;50;no data
Rygge stasjon-Haug stasjon;0076;NO-BN-01;4,73 km;Rygge stasjon;NO0560-05180;Haug stasjon;NO0560-05185;track:NO-BN-01_NO0560-05180_0560-00003_1_NO0560-05185;N;D4;80;no data
Tangen stasjon-Steinsrud stasjon;0076;NO-BN-01;5,7 km;Tangen stasjon;NO0700-07060;Steinsrud stasjon;NO0700-07070;track:NO-BN-01_NO0700-07060_0700-00007_1_NO0700-07070;N;D2;75;no data
DombÕs stasjon-Fokstua stasjon;0076;NO-BN-01;18,61 km;DombÕs stasjon;NO0721-07470;Fokstua stasjon;NO1100-11002;track:NO-BN-01_NO0721-07470_1100-00001_1_NO1100-11002;N;D2;40;no data
Bjorli stasjon-Verma stasjon;0076;NO-BN-01;18,25 km;Bjorli stasjon;NO0800-08050;Verma stasjon;NO0800-08060;track:NO-BN-01_NO0800-08050_0800-00003_1_NO0800-08060;N;D2;70;no data
Hjerkinn stasjon-Kongsvoll stasjon;0076;NO-BN-01;11,49 km;Hjerkinn stasjon;NO1100-11020;Kongsvoll stasjon;NO1110-11030;track:NO-BN-01_NO1100-11020_1110-00001_1_NO1110-11030;N;D2;80;no data
Skogn stasjon-Levanger stasjon;0076;NO-BN-01;7,89 km;Skogn stasjon;NO1300-13050;Levanger stasjon;NO1300-13060;track:NO-BN-01_NO1300-13050_1300-00007_1_NO1300-13060;N;D2;80;no data
Mo i Rana stasjon-Skonseng stasjon;0076;NO-BN-01;14,67 km;Mo i Rana stasjon;NO1340-13640;Skonseng stasjon;NO1340-13642;track:NO-BN-01_NO1340-13640_1340-00001_1_NO1340-13642;N;D4;70;no data
Hokksund stasjon-Skotselv stasjon;0076;NO-BN-01;9,56 km;Hokksund stasjon;NO1600-16050;Skotselv stasjon;NO1610-16080;track:NO-BN-01_NO1600-16050_1610-00001_1_NO1610-16080;N;D2;70;no data
Veme stasjon-Sokna stasjon;0076;NO-BN-01;11,54 km;Veme stasjon;NO1680-23028;Sokna stasjon;NO1680-23030;track:NO-BN-01_NO1680-23028_1680-00002_1_NO1680-23030;N;D2;70;no data
Langemyr stasjon-Dalane stasjon;0076;NO-BN-01;2,14 km;Langemyr stasjon;NO2120-21260;Dalane stasjon;NO2120-21270;track:NO-BN-01_NO2120-21260_2120-00008_1_NO2120-21270;N;D2;100;no data
Dalane stasjon-Kristiansand stasjon;0076;NO-BN-01;3,19 km;Dalane stasjon;NO2120-21270;Kristiansand stasjon;NO2120-21300;track:NO-BN-01_NO2120-21270_2120-00009_1_NO2120-21300;N;D2;20;no data
Bergheim stasjon-Nesbyen stasjon;0076;NO-BN-01;15,45 km;Bergheim stasjon;NO2301-23100;Nesbyen stasjon;NO2301-23130;track:NO-BN-01_NO2301-23100_2301-00004_1_NO2301-23130;N;D2;70;no data
Stanghelle stasjon-Vaksdal stasjon;0076;NO-BN-01;8,31 km;Stanghelle stasjon;NO2340-23360;Vaksdal stasjon;NO2340-23370;track:NO-BN-01_NO2340-23360_2340-00002_1_NO2340-23370;N;D2;55;no data
