Section Of Line;Infrastructure Manager's Code;National line ID;Length;Name of start Operational Point;Start Unique OP ID;Name of end Operational Point;End Unique OP ID;Track URI;Normal running direction;Load capability line category;Gauging
Algutsgården-Alingsås;0074;01;10,524 km;Algutsgården;SEAgg;Alingsås;SEA;track:01_SEAgg_N_SEA;B;D2;SEa
Algutsgården-Alingsås;0074;01;10,524 km;Algutsgården;SEAgg;Alingsås;SEA;track:01_SEAgg_U_SEA;B;D2;SEa
Brista-Märsta;0074;05;2,112 km;Brista;SEBra;Märsta;SEMr;track:05_SEBra_N_SEMr;B;D2;SEa
Brista-Märsta;0074;05;2,112 km;Brista;SEBra;Märsta;SEMr;track:05_SEBra_U_SEMr;B;D2;SEa
Korsnäs-Falun central;0074;10;4,543 km;Korsnäs;SEKoä;Falun central;SEFln;track:10_SEKo%C3%A4_E_SEFln;B;D2;SEa
Annedal-Hasslarp;0074;13;7,114 km;Annedal;SEAal;Hasslarp;SEHlp;track:13_SEAal_E_SEHlp;B;D2;SEa
Solum-Harasjön;0074;28;8,243 km;Solum;SESlm;Harasjön;SEHan;track:28_SESlm_E_SEHan;B;E4;SEa
Falerum-Nelhammar;0074;66;9,33 km;Falerum;SEFal;Nelhammar;SENl;track:66_SEFal_E_SENl;B;C2;SEa
Kimstad-Norsholm;0074;02;3,427 km;Kimstad;SEKms;Norsholm;SENh;track:02_SEKms_N_SENh;B;D2;SEa
Kungsbacka-Lekarekulle;0074;03;12,665 km;Kungsbacka;SEKb;Lekarekulle;SELek;track:03_SEKb_N_SELek;B;D2;SEa
Kungsbacka-Lekarekulle;0074;03;12,665 km;Kungsbacka;SEKb;Lekarekulle;SELek;track:03_SEKb_U_SELek;B;D2;SEa
Aplared-Hillared;0074;04;6,016 km;Aplared;SEApd;Hillared;SEHil;track:04_SEApd_E_SEHil;B;D2;SEa
Hamrångefjärden-Kringlan;0074;05;7,922 km;Hamrångefjärden;SEHfj;Kringlan;SEKrl;track:05_SEHfj_E_SEKrl;B;D2;SEa
Österås-Forsmo;0074;07;6,759 km;Österås;SEÖså;Forsmo;SEFsm;track:07_SE%C3%96s%C3%A5_E_SEFsm;B;E4;SEa
Gimonäs-Holmsund;0074;43;10,056 km;Gimonäs;SEGim;Holmsund;SEHod;track:43_SEGim_E_SEHod;B;E4;SEa
Kimstad-Norsholm;0074;02;3,427 km;Kimstad;SEKms;Norsholm;SENh;track:02_SEKms_U_SENh;B;D2;SEa
Ödåkra-Maria;0074;03;3,892 km;Ödåkra;SEÖda;Maria;SEMia;track:03_SE%C3%96da_E_SEMia;B;D2;SEa
