route_id,agency_id,route_short_name,route_long_name,route_type,route_desc
9011001004000000,505000000000000001,40,,100,
9011001004100000,505000000000000001,41,,100,
9011001004200000,505000000000000001,42,,100,
9011001004300000,505000000000000001,43,,100,
9011001004300000-43X,505000000000000001,43X,,100,
9011001004800000,505000000000000001,48,,100,
9011005008100000,505000000000000005,81,Östgötapendeln,100,
9011005008300000,505000000000000005,Krösatåg,,100,
9011005008400000,505000000000000005,84,Krösatåg,100,
9011005008600000,505000000000000005,Mälartåg,,100,
9011006096900000,505000000000000006,SJ-tåg,969 Kust-till-Kust,100,
9011006107900000,505000000000000006,1079,Krösatåg,100,
9011006108500000,505000000000000006,1085,Krösatåg,100,
9011006108600000,505000000000000006,1086,Krösatåg,100,
9011006108700000,505000000000000006,1087,Krösatåg,100,
9011006108800000,505000000000000006,1088,Krösatåg,100,
9011006108900000,505000000000000006,1089,Krösatåg,100,
9011012081200000,505000000000000012,812,Kristianstad-Höör-Eslöv-Malmö-Trelleborg,100,
9011012081400000,505000000000000012,814,Kävlinge- Lomma- Malmö C övre,100,
9011012081500000,505000000000000012,815,Helsingborg - Teckomatorp - Eslöv- Malmö,100,
9011012081600000,505000000000000012,816,Halmstad - Ängelholm - Helsingborg,100,
9011012081700000,505000000000000012,817,Helsingborg-Landskrona-Malmö-Ystad-Simrishamn,100,
9011012081800000,505000000000000012,818,Kristianstad - Hässleholm - Åstorp - Helsingborg,100,
9011012081900000,505000000000000012,819,Kristianstad - Karlshamn,100,
9011012082000000,505000000000000012,Krösatåg,Hässleholm-Växjö,100,
9011012082100000,505000000000000012,821,Älmhult - Hässleholm - Malmö,100,
9011012082200000,505000000000000012,822,Ystad - Skurup - Malmö,100,
9011012082300000,505000000000000012,823,Hässleholm - Markaryd,100,
9011012082400000,505000000000000012,824,Åstorp - Lund - Malmö,100,
9011012082700000,505000000000000012,827,Helsingborg - Landskrona - Malmö,100,
9011012082800000,505000000000000012,828,Göteborg-Lindome-Kungsbacka,100,
9011014130100000,505000000000000014,3702,Västtågen,100,
9011014130100000-3703,505000000000000014,3703,Västtågen,100,
9011014130100000-3705,505000000000000014,3705,Västtågen,100,
9011014130100000-3707,505000000000000014,3707,Västtågen,100,
9011014130100000-3712,505000000000000014,3712,Västtågen,100,
9011014130100000-3717,505000000000000014,3717,Västtågen,100,
9011014130100000-3719,505000000000000014,3719,Västtågen,100,
9011014130100000-3721,505000000000000014,3721,Västtågen,100,
9011014130100000-3722,505000000000000014,3722,Västtågen,100,
9011014130100000-3723,505000000000000014,3723,Västtågen,100,
9011014130100000-3724,505000000000000014,3724,Västtågen,100,
9011014130100000-3725,505000000000000014,3725,Västtågen,100,
9011014130100000-3726,505000000000000014,3726,Västtågen,100,
9011014130100000-3727,505000000000000014,3727,Västtågen,100,
9011014130100000-3728,505000000000000014,3728,Västtågen,100,
9011014130100000-3729,505000000000000014,3729,Västtågen,100,
9011014130100000-3730,505000000000000014,3730,Västtågen,100,
9011014130100000-3731,505000000000000014,3731,Västtågen,100,
9011014130100000-3732,505000000000000014,3732,Västtågen,100,
9011014130100000-3733,505000000000000014,3733,Västtågen,100,
9011014130100000-3734,505000000000000014,3734,Västtågen,100,
9011014130100000-3735,505000000000000014,3735,Västtågen,100,
9011014130100000-3738,505000000000000014,3738,Västtågen,100,
9011014130100000-3739,505000000000000014,3739,Västtågen,100,
9011014130100000-3742,505000000000000014,3742,Västtågen,100,
9011014130100000-3743,505000000000000014,3743,Västtågen,100,
9011014130100000-3746,505000000000000014,3746,Västtågen,100,
9011014130100000-3747,505000000000000014,3747,Västtågen,100,
9011014130100000-3750,505000000000000014,3750,Västtågen,100,
9011014130100000-3751,505000000000000014,3751,Västtågen,100,
9011014130100000-3752,505000000000000014,3752,Västtågen,100,
9011014130100000-3754,505000000000000014,3754,Västtågen,100,
9011014130100000-3755,505000000000000014,3755,Västtågen,100,
9011014130100000-3756,505000000000000014,3756,Västtågen,100,
9011014130100000-3757,505000000000000014,3757,Västtågen,100,
9011014130100000-3758,505000000000000014,3758,Västtågen,100,
9011014130100000-3759,505000000000000014,3759,Västtågen,100,
9011014130100000-3760,505000000000000014,3760,Västtågen,100,
9011014130100000-3761,505000000000000014,3761,Västtågen,100,
9011014130100000-3762,505000000000000014,3762,Västtågen,100,
9011014130100000-3763,505000000000000014,3763,Västtågen,100,
9011014130100000-3764,505000000000000014,3764,Västtågen,100,
9011014130100000-3765,505000000000000014,3765,Västtågen,100,
9011014130100000-3766,505000000000000014,3766,Västtågen,100,
9011014130100000-3767,505000000000000014,3767,Västtågen,100,
9011014130100000-3768,505000000000000014,3768,Västtågen,100,
9011014130100000-3770,505000000000000014,3770,Västtågen,100,
9011014130100000-3771,505000000000000014,3771,Västtågen,100,
9011014130100000-3772,505000000000000014,3772,Västtågen,100,
9011014130100000-3774,505000000000000014,3774,Västtågen,100,
9011014130100000-3775,505000000000000014,3775,Västtågen,100,
