area_id,stop_id
100000351,58365
510000027,73197
510000051,73034
510000119,73195
510000139,73192
510000177,73196
510000937,73048
510005320,73057
540099998,73035
740000001,1
740000002,2
740000002,71314
740000003,3
740000004,4
740000005,5
740000005,71218
740000006,6
740000007,7
740000008,8
740000008,35361
740000008,35362
740000008,71307
740000009,9
740000011,11
740000012,12
740000014,14
740000015,15
740000016,16
740000016,37902
740000016,71324
740000016,71463
740000017,17
740000018,18
740000018,30701
740000018,71313
740000018,71471
740000018,71659
740000019,19
740000020,20
740000021,21
740000021,67988
740000022,22
740000023,23
740000024,46521
740000024,47179
740000025,25
740000026,26
740000027,27
740000027,12472
740000027,12707
740000028,28
740000029,29
740000030,30
740000030,47485
740000031,31
740000031,9329
740000032,32
740000033,33
740000034,34
740000034,71304
740000035,35
740000036,36
740000036,71310
740000036,71468
740000036,71665
740000037,37
740000038,38
740000039,39
740000039,34545
740000040,40
740000040,71667
740000041,41
740000042,42
740000043,43
740000044,25511
740000044,44
740000045,45
740000046,46
740000048,48
740000049,49
740000049,10350
740000050,50
740000051,51
740000052,52
740000053,53
740000054,54
740000055,55
740000055,12241
740000055,12715
740000056,56
740000057,57
740000058,58
740000058,58760
740000059,59155
740000060,60
740000060,31076
740000060,71309
740000060,71467
740000060,71663
740000062,62
740000063,63
740000064,64
740000065,65
740000066,66
740000067,67
740000067,58581
740000069,69
740000070,70
740000071,71
740000072,72
740000072,71297
740000073,73
740000074,74
740000075,75
740000076,76
740000077,77
740000077,70009
740000078,78
740000079,79
740000080,80
740000080,71652
740000081,81
740000082,82
740000083,83
740000084,84
740000086,86
740000087,87
740000088,88
740000089,89
740000090,90
740000091,91
740000092,92
740000093,93
740000093,70630
740000094,94
740000095,95
740000095,71458
740000096,96
740000097,97
740000098,98
740000098,37458
740000099,99
740000100,100
740000102,102
740000103,103
740000104,104
740000105,105
740000105,64091
740000106,106
740000107,107
740000108,108
740000109,109
740000110,110
740000110,58782
740000110,67238
740000111,111
740000111,71173
740000112,112
740000113,113
740000114,114
740000115,115
740000116,116
740000116,71654
740000117,117
740000118,118
740000119,119
740000119,37324
740000120,120
740000121,121
740000122,122
740000122,71614
740000123,123
740000124,124
740000125,59785
740000126,126
740000127,127
740000128,128
740000128,50816
740000129,129
740000129,70172
740000130,130
740000131,131
740000132,132
740000133,133
740000133,70923
740000134,134
740000135,135
740000136,136
740000137,137
740000138,138
740000140,140
740000141,141
740000142,142
740000143,143
740000144,144
740000145,145
740000146,146
740000147,147
740000148,148
740000148,33538
740000148,71323
740000148,71462
740000149,149
740000150,150
740000151,59149
740000152,152
740000153,153
740000154,154
740000155,155
740000156,156
740000157,157
740000158,158
740000159,159
740000160,160
740000161,161
740000162,162
740000163,59220
740000164,164
740000165,165
740000166,166
740000166,58587
740000167,167
740000169,169
740000170,170
740000170,58586
740000170,71678
740000171,171
740000171,71303
740000172,172
740000172,17323
740000173,173
740000173,38337
740000174,174
740000175,70739
740000176,176
740000176,70199
740000177,177
740000178,178
740000179,179
740000180,180
740000181,181
740000182,182
740000183,183
740000183,38927
740000183,71306
740000183,71464
740000183,71662
740000184,184
740000184,73099
740000185,185
740000186,186
740000187,187
740000188,188
740000189,189
740000190,190
740000191,191
740000191,37078
740000192,192
740000192,42745
740000192,70103
740000193,193
740000194,194
740000194,69957
740000195,46926
740000195,195
740000196,196
740000197,197
740000198,198
740000199,199
740000200,200
740000201,59182
740000202,202
740000202,48535
740000203,203
740000204,59202
740000205,205
740000205,38956
740000206,206
740000207,207
740000208,208
740000209,59188
740000210,210
740000211,211
740000212,212
740000213,213
740000214,214
740000215,215
740000216,216
740000216,34049
740000217,217
740000218,218
740000219,219
740000220,220
740000221,221
740000222,222
740000223,223
740000224,224
740000225,225
740000226,226
740000227,227
740000228,228
740000229,229
740000230,230
740000231,231
740000232,232
740000233,233
740000234,234
740000235,235
740000238,238
740000239,239
740000241,241
740000241,38342
740000242,242
740000243,243
740000243,30948
740000244,244
740000245,245
740000246,246
740000247,247
740000248,248
740000249,249
740000250,250
740000252,252
740000253,253
740000254,254
740000255,255
740000256,256
740000257,257
740000258,258
740000260,260
740000261,261
740000262,262
740000263,65644
740000265,265
740000266,266
740000267,267
740000268,268
740000269,269
740000270,270
740000271,271
740000271,69295
740000272,272
740000273,273
740000274,274
740000275,65656
740000276,276
740000277,277
740000278,278
740000279,279
740000280,280
740000280,70772
740000281,281
740000282,282
740000283,283
740000283,31032
740000284,284
740000284,12304
740000285,25304
740000285,285
740000286,286
740000287,287
740000288,288
740000288,58588
740000289,289
740000290,290
740000291,291
740000292,292
740000293,293
740000293,70714
740000294,294
740000294,56485
740000295,295
740000296,296
740000297,297
740000298,298
740000298,34028
740000299,299
740000300,300
740000300,38830
740000301,301
740000302,302
740000303,303
740000305,305
740000306,306
740000307,307
740000308,59161
740000308,308
740000309,309
740000310,310
740000311,311
740000312,312
740000313,59191
740000313,71650
740000314,314
740000314,34408
740000315,315
740000316,316
740000317,317
740000318,318
740000319,319
740000320,320
740000321,321
740000322,322
740000323,323
740000324,324
740000325,325
740000326,59178
740000328,328
740000330,330
740000331,331
740000332,332
740000333,333
740000334,334
740000334,46935
740000335,335
740000336,336
740000338,338
740000339,339
740000340,340
740000342,342
740000343,343
740000344,344
740000345,345
740000346,346
740000347,347
740000348,348
740000349,349
740000350,350
740000351,351
740000353,353
740000354,59783
740000355,355
740000356,356
740000357,357
740000358,358
740000359,359
740000360,360
740000361,361
740000361,71077
740000362,362
740000363,363
740000364,364
740000365,365
740000366,68228
740000367,367
740000368,368
740000368,24725
740000370,370
740000371,371
740000372,372
740000373,373
740000374,374
740000375,375
740000376,376
740000377,377
740000378,378
740000379,379
740000380,380
740000381,381
740000383,383
740000383,12603
740000383,12604
740000384,384
740000385,385
740000386,386
740000387,387
740000388,388
740000388,71617
740000389,389
740000390,390
740000391,391
740000392,392
740000394,394
740000395,395
740000396,59173
740000397,397
740000398,398
740000399,399
740000400,63548
740000401,63555
740000402,402
740000402,34415
740000403,65616
740000404,404
740000405,405
740000406,406
740000406,48580
740000407,68028
740000408,408
740000409,66482
740000410,410
740000411,411
740000413,413
740000414,59166
740000415,415
740000417,65700
740000418,418
740000419,419
740000419,70821
740000420,420
740000421,421
740000422,422
740000423,423
740000424,424
740000424,48316
740000425,425
