stop_id,trafikverket_signature
740000001,CST
740000002,G
740000003,M
740000004,AV
740000005,U
740000006,HM
740000007,NR
740000008,SK
740000009,LP
740000010,SRO
740000011,TP
740000012,VAG
740000014,SNU
740000015,BX
740000016,VAA
740000018,A
740000019,LSD
740000020,KAC
740000021,KID
740000022,PT
740000023,SFL
740000024,SRE
740000025,STR
740000026,ST
740000027,MR
740000028,Y
740000030,FLN
740000031,FLB
740000032,BÄ
740000034,FM
740000036,FBY
740000037,ÅNN
740000039,ML
740000040,HRC
740000041,TNS
740000042,HDM
740000043,STÅ
740000044,HB
740000045,ÄH
740000046,RMN
740000047,KGS
740000048,CG
740000049,SÖD
740000050,NK
740000052,V
740000053,SKL
740000054,HLV
740000055,SÖU
740000055,SÖÖ
740000056,ÖVB
740000058,LAOV
740000059,BLN
740000060,F
740000061,BÅSÖ
740000062,SMJ
740000063,ENS
740000064,Ä
740000065,DL
740000066,NOL
740000067,LG
740000068,HPGR
740000069,RB
740000070,KSC
740000071,GDÖ
740000072,EP
740000073,KH
740000075,SKE
740000076,ÅL
740000077,HPBG
740000078,SÄ
740000079,SÖG
740000080,HD
740000081,NÖE
740000082,VK
740000083,HÅP
740000084,EK
740000086,VTA
740000087,MKL
740000088,TRG
740000089,HET
740000090,JÖ
740000093,LD
740000094,UH
740000095,SMD
740000096,EM
740000097,TLG
740000098,LJ
740000099,VÅ
740000100,LME
740000101,BÅS
740000102,BJUV
740000104,KAL
740000105,ÅG
740000107,GOP
740000108,SGS
740000109,FRA
740000110,VB
740000111,AVKY
740000112,GNÖ
740000114,AKT
740000115,ÅRE
740000116,LRD
740000119,UV
740000120,LU
740000121,KL
740000122,MO
740000123,ÖS
740000124,NHU
740000125,KPE
740000126,JPN
740000127,DE
740000128,BN
740000129,DG
740000130,SUC
740000132,P
740000133,ÖR
740000135,ÄBG
740000137,RSN
740000138,SRP
740000139,MA
740000140,N
740000141,BML
740000142,UN
740000143,BOA
740000144,LE
740000145,VS
740000146,JR
740000147,YTÅ
740000148,LKP
740000149,NKV
740000150,BDN
740000151,AK
740000153,MI
740000154,SHV
740000155,ÅP
740000156,ÄY
740000157,VIG
740000158,RV
740000159,VFO
740000160,BLGC
740000161,KB
740000162,GG
740000163,ÅSAL
740000164,SYD
740000165,NÄ
740000166,K
740000167,KP
740000169,SI
740000170,ET
740000171,TH
740000172,MOT
740000173,ÖX
740000174,KV
740000175,FEB
740000176,KSGA
740000179,VÖV
740000180,MY
740000181,VNS
740000183,T
740000184,SUN
740000185,HÖ
740000186,SKB
740000187,HKL
740000189,NYB
740000190,UÅ
740000191,THN
740000192,KLA
740000193,RUT
740000194,LÅ
740000195,SNV
740000196,VSO
740000198,LS
740000199,LAB
740000200,CR
740000201,LÖN
740000202,IN
740000203,FD
740000204,SIC
740000204,SID
740000205,MYK
740000206,KIL
740000207,HÅS
740000208,VJ
740000209,MÖA
740000210,GÄ
740000212,RFT
740000213,OH
740000214,SL
740000215,MU
740000216,MST
740000217,GMS
740000218,HFR
740000219,HLS
740000220,KRF
740000221,AR
740000222,KHN
740000225,TOF
740000226,ÅKS
740000227,SPH
740000228,KRM
740000229,RGN
740000230,CK
740000231,HO
740000232,VGD
740000233,TNU
740000234,SNN
740000235,LO
740000237,TB
740000238,RD
740000239,VDN
740000240,KRA
740000241,VG
740000242,TRÅ
740000243,BOY
740000244,SV
740000245,LJU
740000246,RYDÖ
740000247,KNÄ
740000248,NYÅ
740000249,OXD
740000250,VÖ
740000251,HLD
740000252,HOK
740000253,HSD
740000254,GV
740000254,GVC
740000256,KBG
740000257,FAB
740000258,MRD
740000260,E
740000262,ARB
740000263,MSL
740000264,BSK
740000265,NTV
740000266,FGC
740000268,MK
740000271,DRE
740000272,SAE
740000274,TOY
740000275,NLD
740000277,OB
740000278,LSL
740000280,KPG
740000281,TNK
740000282,JRN
740000283,ED
740000284,KÄN
740000285,AG
740000286,ASB
740000287,VE
740000288,FLE
740000289,SDR
740000290,TY
740000291,LA
740000293,FV
740000294,BST
740000295,O
740000298,BSA
740000299,RBH
740000300,BSC
740000301,TIP
740000302,MRC
740000303,DÅ
740000305,HÅK
740000307,ÅT
740000308,DU
740000311,MBÄ
740000312,TOU
740000313,OM
740000314,SEE
740000315,MDN
740000320,SVG
740000321,KBÄ
740000322,GNF
740000323,TLI
740000324,GÖ
740000325,LJV
740000326,KTM
740000327,PM
740000328,ÄR
740000332,FID
740000334,ORS
740000335,KRD
740000338,ÅVG
740000339,BGM
740000342,RYM
740000344,KISA
740000345,KLS
740000347,SF
740000348,HF
740000348,HFP
740000351,VIB
740000353,FRL
740000354,BFS
740000359,OT
740000360,LY
740000361,ÖB
740000362,ÅA
740000362,ÅAS
740000363,VDI
740000365,RF
740000366,MRU
740000367,MLG
740000368,BHB
740000369,NL
740000372,HP
740000373,TBR
740000378,FT
740000379,ANY
740000380,STD
740000383,BKB
740000384,SHR
740000386,VED
740000388,GM
740000392,SRV
740000396,IGT
740000397,SEA
740000398,DJ
740000402,HRE
740000404,GAL
740000405,MND
740000406,VO
740000408,S
740000410,EN
740000412,MJV
740000413,RMK
740000414,FJÅ
740000415,RDG
740000418,HBD
740000419,HLF
740000419,HLFN
740000421,SSD
740000424,BÖO
740000426,FGÅ
740000427,HLK
740000428,SUM
740000430,BSÄ
740000432,VSJ
740000433,LYV
740000434,HTG
740000437,DFL
740000438,SYT
740000439,FOD
740000442,JPS
740000443,HKS
740000444,SVK
740000446,ÄP
740000447,JK
740000451,VMA
740000456,KDE
740000457,TÅV
740000458,VHA
740000461,KRI
740000462,MFJ
740000465,BDY
740000466,LNÅ
740000467,ULÅ
740000468,LYD
740000471,SIÅ
740000472,YM
740000473,PJ
740000476,ÖH
740000477,BYE
740000478,KLL
740000479,AJR
740000480,UVB
740000482,GHY
740000484,HOVA
740000487,MSA
740000487,MÅA
740000489,BSG
740000490,KVH
740000492,ARNS
740000496,FAL
740000500,BG
740000501,RTS
740000503,YL
740000504,VÄT
740000508,TLT
740000509,SVI
740000510,ESN
740000511,HVP
740000520,PÅA
740000522,TJSK
740000522,TJSP
740000524,KBA
740000526,BF
740000528,ÖVM
740000533,NHR
740000539,TAG
740000540,LR
740000542,BÄB
740000543,GNG
740000544,NÅS
740000545,SKN
740000546,MOY
740000547,ORY
740000550,DTA
740000552,TOP
740000553,KIN
740000556,ARNC
740000557,LDO
740000559,KN
740000561,MSS
740000562,KOGR
740000564,NÄT
740000565,VJGR
740000568,HBGR
740000569,VGÅ
740000570,LIN
740000571,PTÅ
740000577,SRS
740000579,HAR
740000581,ÅM
740000582,SBK
740000585,YB
740000586,BSP
740000587,BRK
740000596,HFJ
740000599,HÅG
740000602,GNP
740000603,LUE
740000605,VHD
740000615,AB
740000616,MT
740000618,NMG
740000620,HKA
740000623,R
740000625,HYB
740000627,MAA
740000629,SÖE
740000630,HL
740000630,HLR
740000632,HDN
740000633,JB
740000634,KFN
740000635,LB
740000638,STL
740000648,LISB
740000652,AVK
740000653,PL
740000656,SHFB
740000658,TDFB
740000659,VHY
740000660,BÅL
740000669,LIT
740000673,HH
740000674,HY
740000676,KÖR
740000677,KSUS
740000679,RT
740000683,VAD
740000684,VSG
740000686,STV
740000687,BRO
740000688,TO
740000692,FAS
740000694,GN
740000699,HND
740000701,HEL
740000702,HU
740000703,HGV
740000704,FS
740000705,JKB
740000706,JBO
740000708,ARNN
740000709,JN
740000710,KHÄ
740000712,KE
740000715,MÖ
740000718,NVK
740000719,NFT
740000721,SÖC
740000727,NYC
740000736,MÅ
740000738,HNÄ
740000739,RS
740000742,GSS
740000748,RÖN
740000753,VL
740000757,SKG
740000758,SOL
740000759,SO
740000764,SPÅ
740000765,SST
740000770,FÅ
740000771,HMÖ
740000772,STA
740000773,SUB
740000774,TÅD
740000775,TUL
740000776,TU
740000777,TS
740000780,VDA
740000781,UDL
740000782,UPV
740000787,VHE
740000789,ÄS
740000790,ÖSO
740000791,ÖTE
740000792,FA
740000794,HS
740000796,PÅ
740000799,Å
740000800,BJB
740000803,EL
740000813,STLV
740000815,MKO
740000816,NKA
740000834,STB
740000837,TRA
740000839,VR
740000842,EI
740000849,LGM
740000853,NH
740000859,STH
740000862,SMN
740000864,SUF
740000867,DGÖ
740000868,VSD
740000870,ÅBY
740000903,KBN
740000905,VTV
740000907,AKM
740000908,BDA
740000912,FAD
740000923,HÖY
740000924,SS
740000925,LIÖ
740000931,SOÖ
740000933,VSM
740000934,BIB
740000935,BIH
740000937,BLV
740000939,DÖS
740000941,GNB
740000942,HJP
740000945,KG
740000946,KÖP
740000952,SG
740000960,ÅK
740000961,Ö
740000962,BJY
740000963,BDF
740000964,BZ
740000965,FÖL
740000966,HTO
740000967,HVD
740000968,HUL
740000969,GUN
740000974,SNÖ
740000976,ÅLD
740000977,BRY
740000978,BEF
740000980,BFO
740000981,BJO
740000982,BRL
740000983,BÄF
740000984,DLD
740000988,GH
740000989,HVR
740001000,BMA
740001011,ASD
740001012,APN
740001013,ALV
740001016,BTH
740001019,BÖK
740001022,BMB
