shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4393900000000000001,59.330139,18.058155,1,
4393900000000000001,59.649570,17.929186,2,
4393900000000000001,59.858533,17.646086,3,
4393900000000000001,59.924961,16.605446,4,
4393900000000000001,60.129669,16.215929,5,
4393900000000000001,60.274000,15.980318,6,
4393900000000000001,60.346490,15.757054,7,
4393900000000000001,60.483535,15.425840,8,
4393900000000000001,60.560177,15.138593,9,
4393900000000000001,60.598796,15.081377,10,
4393900000000000001,60.675342,15.094366,11,
4393900000000000001,60.733992,15.003328,12,
4393900000000000001,60.818240,15.018401,13,
4393900000000000001,60.885116,15.115628,14,
4393900000000000001,61.009054,14.560044,15,
4393900000000000002,60.676119,17.151220,1,
4393900000000000002,60.614347,16.777880,2,
4393900000000000002,60.582156,16.534530,3,
4393900000000000002,60.514148,16.489165,4,
4393900000000000002,60.295885,16.413178,5,
4393900000000000002,60.208268,16.314243,6,
4393900000000000002,60.129669,16.215929,7,
4393900000000000002,60.036608,16.072809,8,
4393900000000000002,59.990463,15.815703,9,
4393900000000000003,60.483535,15.425840,1,
4393900000000000003,60.560177,15.138593,2,
4393900000000000003,60.598796,15.081377,3,
4393900000000000003,60.675342,15.094366,4,
4393900000000000003,60.733992,15.003328,5,
4393900000000000003,60.818240,15.018401,6,
4393900000000000003,60.885116,15.115628,7,
4393900000000000003,61.009054,14.560044,8,
4393900000000000003,61.004901,14.542995,9,
4393900000000000004,63.389761,12.917674,1,
4393900000000000004,63.398791,13.075922,2,
4393900000000000004,63.314804,13.237891,3,
4393900000000000004,63.342478,13.471780,4,
4393900000000000004,63.170919,14.637752,5,
4393900000000000004,62.750053,15.417085,6,
4393900000000000004,62.523268,15.658427,7,
4393900000000000004,62.386874,17.315630,8,
4393900000000000004,61.724494,17.109038,9,
4393900000000000004,61.299600,17.035680,10,
4393900000000000004,60.676119,17.151220,11,
4393900000000000004,59.858533,17.646086,12,
4393900000000000004,59.649570,17.929186,13,
4393900000000000004,59.330139,18.058155,14,
4393900000000000005,60.603289,15.641624,1,
4393900000000000005,60.483535,15.425840,2,
4393900000000000005,60.346490,15.757054,3,
4393900000000000005,60.274000,15.980318,4,
4393900000000000005,60.129669,16.215929,5,
4393900000000000005,59.924961,16.605446,6,
4393900000000000005,59.858533,17.646086,7,
4393900000000000005,59.649570,17.929186,8,
4393900000000000005,59.330139,18.058155,9,
4393900000000000006,63.830061,20.266814,1,
4393900000000000006,63.817659,20.293450,2,
4393900000000000006,63.289285,18.704305,3,
4393900000000000006,62.929115,17.778180,4,
