shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4393900000000000001,59.330139,18.058155,1,
4393900000000000001,59.162411,17.645368,2,
4393900000000000001,58.596626,16.183346,3,
4393900000000000001,58.416635,15.624963,4,
4393900000000000001,58.322981,15.131987,5,
4393900000000000001,57.652439,14.693982,6,
4393900000000000001,56.898781,14.556318,7,
4393900000000000001,56.157759,13.763138,8,
4393900000000000001,55.708098,13.186900,9,
4393900000000000001,55.609458,13.000913,10,
4393900000000001003,59.330139,18.058155,1,
4393900000000001003,59.162411,17.645368,2,
4393900000000001003,58.596626,16.183346,3,
4393900000000001003,58.416635,15.624963,4,
4393900000000001003,58.322981,15.131987,5,
4393900000000001003,57.652439,14.693982,6,
4393900000000001003,56.898781,14.556318,7,
4393900000000001003,56.157759,13.763138,8,
4393900000000001003,55.708098,13.186900,9,
4393900000000001003,55.609458,13.000913,10,
4393900000000001003,55.629571,12.648922,11,
4393900000000001003,55.673057,12.564474,12,
4393900000000001147,59.330139,18.058155,1,
4393900000000001147,59.162411,17.645368,2,
4393900000000001147,58.596626,16.183346,3,
4393900000000001147,58.416635,15.624963,4,
4393900000000001147,58.322981,15.131987,5,
4393900000000001147,57.652439,14.693982,6,
4393900000000001147,56.898781,14.556318,7,
4393900000000001147,56.157759,13.763138,8,
4393900000000001147,55.708098,13.186900,9,
4393900000000001147,55.609458,13.000913,10,
4393900000000000002,59.330139,18.058155,1,
4393900000000000002,59.649570,17.929186,2,
4393900000000000002,59.858533,17.646086,3,
4393900000000000002,60.676119,17.151220,4,
4393900000000000002,61.299600,17.035680,5,
4393900000000000002,61.724494,17.109038,6,
4393900000000000002,62.386874,17.315630,7,
4393900000000000002,62.523268,15.658427,8,
4393900000000000002,62.750053,15.417085,9,
4393900000000000002,63.170919,14.637752,10,
4393900000000000002,63.342478,13.471780,11,
4393900000000000002,63.314804,13.237891,12,
4393900000000000002,63.398791,13.075922,13,
4393900000000000002,63.389761,12.917674,14,
4393900000000001218,59.330139,18.058155,1,
4393900000000001218,59.649570,17.929186,2,
4393900000000001218,59.858533,17.646086,3,
4393900000000001218,60.676119,17.151220,4,
4393900000000001218,60.891310,16.721029,5,
4393900000000001218,61.349734,16.391612,6,
4393900000000001218,61.715872,16.172238,7,
4393900000000001218,61.826855,16.097119,8,
4393900000000001218,62.523268,15.658427,9,
4393900000000001218,62.750053,15.417085,10,
4393900000000001218,63.170919,14.637752,11,
4393900000000001218,63.342478,13.471780,12,
4393900000000001218,63.314804,13.237891,13,
4393900000000001218,63.398791,13.075922,14,
4393900000000001218,63.389761,12.917674,15,
4393900000000001360,59.330139,18.058155,1,
4393900000000001360,59.649570,17.929186,2,
4393900000000001360,59.858533,17.646086,3,
4393900000000001360,60.676119,17.151220,4,
4393900000000001360,61.349734,16.391612,5,
4393900000000001360,61.715872,16.172238,6,
4393900000000001360,61.826855,16.097119,7,
4393900000000001360,62.523268,15.658427,8,
4393900000000001360,62.750053,15.417085,9,
4393900000000001360,63.170919,14.637752,10,
4393900000000001360,63.342478,13.471780,11,
4393900000000001360,63.314804,13.237891,12,
4393900000000001360,63.398791,13.075922,13,
4393900000000001360,63.389761,12.917674,14,
4393900000000000003,63.389761,12.917674,1,
4393900000000000003,63.398791,13.075922,2,
4393900000000000003,63.314804,13.237891,3,
4393900000000000003,63.342478,13.471780,4,
4393900000000000003,63.170919,14.637752,5,
4393900000000000003,62.750053,15.417085,6,
4393900000000000003,62.523268,15.658427,7,
4393900000000000003,62.386874,17.315630,8,
4393900000000000003,61.724494,17.109038,9,
4393900000000000003,61.299600,17.035680,10,
4393900000000000003,60.676119,17.151220,11,
4393900000000000003,59.858533,17.646086,12,
4393900000000000003,59.649570,17.929186,13,
4393900000000000003,59.330139,18.058155,14,
4393900000000000004,59.607703,16.551707,1,
4393900000000000004,59.644324,17.086745,2,
4393900000000000004,59.568758,17.532813,3,
4393900000000000004,59.361034,17.970936,4,
4393900000000000004,59.330139,18.058155,5,
4393900000000000230,59.067102,15.110379,1,
4393900000000000230,59.126374,15.140279,2,
4393900000000000230,59.269985,15.202329,3,
4393900000000000230,59.278941,15.211344,4,
4393900000000000230,59.397107,15.841060,5,
4393900000000000230,59.506671,16.004217,6,
4393900000000000230,59.607703,16.551707,7,
4393900000000000230,59.644324,17.086745,8,
4393900000000000230,59.568758,17.532813,9,
4393900000000000230,59.361034,17.970936,10,
4393900000000000230,59.330139,18.058155,11,
4393900000000000499,59.067102,15.110379,1,
4393900000000000499,59.126374,15.140279,2,
4393900000000000499,59.269985,15.202329,3,
4393900000000000499,59.278941,15.211344,4,
4393900000000000499,59.397107,15.841060,5,
4393900000000000499,59.506671,16.004217,6,
4393900000000000499,59.607703,16.551707,7,
4393900000000000499,59.644324,17.086745,8,
4393900000000000499,59.568758,17.532813,9,
4393900000000000927,59.067102,15.110379,1,
4393900000000000927,59.126374,15.140279,2,
4393900000000000927,59.269985,15.202329,3,
4393900000000000927,59.278941,15.211344,4,
4393900000000000927,59.397107,15.841060,5,
4393900000000001062,59.506671,16.004217,1,
4393900000000001062,59.607703,16.551707,2,
4393900000000001062,59.644324,17.086745,3,
4393900000000001062,59.568758,17.532813,4,
4393900000000001062,59.361034,17.970936,5,
4393900000000001062,59.330139,18.058155,6,
4393900000000001241,59.067102,15.110379,1,
4393900000000001241,59.126374,15.140279,2,
4393900000000001241,59.269985,15.202329,3,
4393900000000001241,59.278941,15.211344,4,
4393900000000001241,59.397107,15.841060,5,
4393900000000001241,59.369486,16.505196,6,
4393900000000001241,59.330139,18.058155,7,
4393900000000001295,59.644324,17.086745,1,
4393900000000001295,59.568758,17.532813,2,
4393900000000001295,59.361034,17.970936,3,
4393900000000001295,59.330139,18.058155,4,
4393900000000001494,59.067102,15.110379,1,
4393900000000001494,59.126374,15.140279,2,
4393900000000001494,59.269985,15.202329,3,
4393900000000001494,59.278941,15.211344,4,
4393900000000001494,59.397107,15.841060,5,
4393900000000001494,59.506671,16.004217,6,
4393900000000001494,59.607703,16.551707,7,
4393900000000001494,59.644324,17.086745,8,
4393900000000001494,59.568758,17.532813,9,
4393900000000001494,59.423414,17.832892,10,
4393900000000000005,59.067102,15.110379,1,
4393900000000000005,59.126374,15.140279,2,
4393900000000000005,59.269985,15.202329,3,
4393900000000000005,59.278941,15.211344,4,
4393900000000000005,59.397107,15.841060,5,
4393900000000000005,59.506671,16.004217,6,
4393900000000000005,59.607703,16.551707,7,
4393900000000000005,59.644324,17.086745,8,
4393900000000000005,59.568758,17.532813,9,
4393900000000000005,59.361034,17.970936,10,
4393900000000000005,59.330139,18.058155,11,
4393900000000000501,59.067102,15.110379,1,
4393900000000000501,59.126374,15.140279,2,
4393900000000000501,59.269985,15.202329,3,
4393900000000000501,59.278941,15.211344,4,
4393900000000000501,59.397107,15.841060,5,
4393900000000000501,59.506671,16.004217,6,
4393900000000000501,59.607703,16.551707,7,
4393900000000000501,59.644324,17.086745,8,
4393900000000000501,59.568758,17.532813,9,
4393900000000000768,59.067102,15.110379,1,
4393900000000000768,59.126374,15.140279,2,
4393900000000000768,59.269985,15.202329,3,
4393900000000000768,59.278941,15.211344,4,
4393900000000000768,59.397107,15.841060,5,
4393900000000001064,59.067102,15.110379,1,
4393900000000001064,59.369486,16.505196,2,
4393900000000001064,59.607703,16.551707,3,
4393900000000001064,59.644324,17.086745,4,
4393900000000001064,59.568758,17.532813,5,
4393900000000001064,59.361034,17.970936,6,
4393900000000001064,59.330139,18.058155,7,
4393900000000001104,59.506671,16.004217,1,
4393900000000001104,59.607703,16.551707,2,
4393900000000001104,59.644324,17.086745,3,
4393900000000001104,59.568758,17.532813,4,
4393900000000001104,59.361034,17.970936,5,
4393900000000001104,59.330139,18.058155,6,
4393900000000001242,59.067102,15.110379,1,
4393900000000001242,59.126374,15.140279,2,
4393900000000001242,59.269985,15.202329,3,
4393900000000001242,59.278941,15.211344,4,
4393900000000001242,59.397107,15.841060,5,
4393900000000001242,59.369486,16.505196,6,
4393900000000001242,59.330139,18.058155,7,
4393900000000001496,59.067102,15.110379,1,
4393900000000001496,59.126374,15.140279,2,
4393900000000001496,59.269985,15.202329,3,
4393900000000001496,59.278941,15.211344,4,
4393900000000001496,59.397107,15.841060,5,
4393900000000001496,59.506671,16.004217,6,
4393900000000001496,59.607703,16.551707,7,
4393900000000001496,59.644324,17.086745,8,
4393900000000001496,59.568758,17.532813,9,
4393900000000001496,59.423414,17.832892,10,
4393900000000000006,59.607703,16.551707,1,
4393900000000000006,59.506671,16.004217,2,
4393900000000000006,59.397107,15.841060,3,
4393900000000000006,59.278941,15.211344,4,
4393900000000000006,59.269985,15.202329,5,
4393900000000000006,59.126374,15.140279,6,
4393900000000000006,59.067102,15.110379,7,
4393900000000000006,58.989392,14.616657,8,
4393900000000000006,58.706022,14.128391,9,
4393900000000000006,58.390896,13.853193,10,
4393900000000000006,58.176100,13.553793,11,
4393900000000000006,58.079186,13.021274,12,
4393900000000000006,58.031202,12.810288,13,
4393900000000000006,57.926861,12.532493,14,
4393900000000000006,57.708894,11.973478,15,
