stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021074000001000,Stockholm Centralstation,59.330139,18.058155,1,,
9021074000002000,Göteborg Centralstation,57.708894,11.973478,1,,
9021074000003000,Malmö Centralstation,55.609458,13.000913,1,,
9021074000004000,Alvesta station,56.898781,14.556318,1,,
9021074000005000,Uppsala Centralstation,59.858533,17.646086,1,,
9021074000006000,Hässleholm Centralstation,56.157759,13.763138,1,,
9021074000007000,Norrköping Centralstation,58.596626,16.183346,1,,
9021074000008000,Skövde Centralstation,58.390896,13.853193,1,,
9021074000009000,Linköping Centralstation,58.416635,15.624963,1,,
9021074000018000,Alingsås station,57.926861,12.532493,1,,
9021074000019000,Leksand station,60.733992,15.003328,1,,
9021074000020000,Kalmar Centralstation,56.661282,16.360067,1,,
9021074000023000,Säffle station,59.132229,12.916874,1,,
9021074000025000,Storlien station,63.316084,12.099118,1,,
9021074000026000,Säter station,60.346490,15.757054,1,,
9021074000027000,Märsta station,59.628181,17.861620,1,,
9021074000030000,Falun Centralstation,60.603289,15.641624,1,,
9021074000031000,Flemingsberg station,59.217957,17.945682,1,,
9021074000032000,Bräcke station,62.750053,15.417085,1,,
9021074000036000,Floby station,58.139307,13.335301,1,,
9021074000039000,Mellerud station,58.701860,12.464742,1,,
9021074000040000,Herrljunga station,58.079186,13.021274,1,,
9021074000041000,Tranås station,58.037967,14.975024,1,,
9021074000042000,Hedemora station,60.274000,15.980318,1,,
9021074000044000,Helsingborg Centralstation,56.044403,12.694262,1,,
9021074000045000,Älmhult station,56.551426,14.136985,1,,
9021074000049000,Södertälje hamn station,59.179301,17.646538,1,,
9021074000052000,Värnamo station,57.186284,14.035722,1,,
9021074000055000,Södertälje Syd station,59.162411,17.645368,1,,
9021074000059000,Björkliden station,68.406591,18.686673,1,,
9021074000060000,Falköping Centralstation,58.176100,13.553793,1,,
9021074000062000,Smedjebacken station,60.136321,15.405814,1,,
9021074000063000,Enafors station,63.289993,12.337211,1,,
9021074000069000,Ronneby station,56.206975,15.282938,1,,
9021074000070000,Karlstad Centralstation,59.377797,13.499047,1,,
9021074000072000,Enköping station,59.644324,17.086745,1,,
9021074000073000,Karlshamn station,56.176511,14.868018,1,,
9021074000076000,Åmål station,59.046416,12.698150,1,,
9021074000077000,Hallsberg station,59.067102,15.110379,1,,
9021074000080000,Halmstad Centralstation,56.669271,12.864841,1,,
9021086000083000,Kolding,55.490493,9.481071,1,,
9021074000089000,Hestra station,57.443284,13.595838,1,,
9021074000090000,Jönköping Centralstation,57.784705,14.163321,1,,
9021074000096000,Emmaboda station,56.629746,15.535500,1,,
9021074000097000,Tällberg station,60.818240,15.018401,1,,
9021074000099000,Västerås Centralstation,59.607703,16.551707,1,,
9021074000100000,Limmared station,57.536120,13.352741,1,,
9021076000100000,Oslo S,59.910989,10.753487,1,,
9021086000100000,Padborg,54.823654,9.358686,1,,
9021074000105000,Ånge station,62.523268,15.658427,1,,
9021074000110000,Varberg station,57.109375,12.248082,1,,
9021074000111000,Avesta Krylbo station,60.129669,16.215929,1,,
9021074000112000,Gnosjö station,57.358237,13.735508,1,,
9021074000114000,Abisko Turiststation,68.358164,18.780110,1,,
9021074000115000,Åre station,63.398791,13.075922,1,,
9021074000119000,Uddevalla Centralstation,58.354200,11.922753,1,,
9021074000120000,Lund Centralstation,55.708098,13.186900,1,,
9021074000123000,Östersund Centralstation,63.170919,14.637752,1,,
9021074000126000,Järpen station,63.342478,13.471780,1,,
9021074000128000,Bollnäs station,61.349734,16.391612,1,,
9021074000129000,Degerfors station,59.229130,14.439840,1,,
9021074000130000,Sundsvall Centralstation,62.386874,17.315630,1,,
9021074000133000,Örebro Centralstation,59.278941,15.211344,1,,
9021074000140000,Nässjö Centralstation,57.652439,14.693982,1,,
9021074000142000,Undersåker station,63.314804,13.237891,1,,
9021074000144000,Luleå Centralstation,65.584090,22.164937,1,,
9021074000146000,Järvsö station,61.715872,16.172238,1,,
9021074000150000,Boden C/Resecentrum,65.828740,21.706991,1,,
9021074000151000,Abisko Östra station,68.348467,18.829267,1,,
9021074000154000,Söderhamn station,61.299600,17.035680,1,,
9021074000155000,Åstorp station,56.133967,12.949186,1,,
9021074000156000,Älvsbyn station,65.678201,20.994584,1,,
9021074000158000,Rättvik station,60.885116,15.115628,1,,
9021074000160000,Borlänge Centralstation,60.483535,15.425840,1,,
9021074000162000,Grängesberg station,60.076395,15.005463,1,,
9021074000166000,Katrineholm Centralstation,58.996592,16.208325,1,,
9021074000167000,Köping station,59.506671,16.004217,1,,
9021074000170000,Eskilstuna Centralstation,59.369486,16.505196,1,,
9021074000172000,Motala station,58.537486,15.048309,1,,
9021074000173000,Öxnered station,58.359219,12.273695,1,,
9021074000180000,Mjölby station,58.322981,15.131987,1,,
9021074000181000,Vännäs Resecentrum/Station,63.908689,19.749817,1,,
9021074000183000,Töreboda station,58.706022,14.128391,1,,
9021074000187000,Hudiksvall station,61.724494,17.109038,1,,
9021074000189000,Nybro station,56.742359,15.909169,1,,
9021074000190000,Umeå Centralstation,63.830061,20.266814,1,,
