Operational Point;Type of operational point;Name of Operational point;OP TAF TAP primary code;Geographical location of Operational Point;Validity start date;Validity end date
Helsinki asema;station;Helsinki asema;FI00001;60,1721, 24,9413;1970-01-01;3100-12-31
Ilmala asema;passenger stop;Ilmala asema;FI00009;60,2081, 24,9206;1970-01-01;3100-12-31
Kauklahti asema;passenger stop;Kauklahti asema;FI00065;60,1895, 24,6004;1970-01-01;3100-12-31
Espoo;passenger terminal;Espoo;FI00066;60,2051, 24,656;1970-01-01;3100-12-31
Kauniainen;small station;Kauniainen;FI00067;60,2119, 24,7309;1970-01-01;3100-12-31
Leppävaara;passenger stop;Leppävaara;FI00068;60,2195, 24,8135;1970-01-01;3100-12-31
Pitäjänmäki;passenger stop;Pitäjänmäki;FI00069;60,2234, 24,8596;1970-01-01;3100-12-31
Huopalahti;passenger stop;Huopalahti;FI00072;60,2184, 24,8935;1970-01-01;3100-12-31
Tuomarila;passenger stop;Tuomarila;FI00579;60,2061, 24,6818;1970-01-01;3100-12-31
Kilo;passenger stop;Kilo;FI00580;60,2179, 24,7824;1970-01-01;3100-12-31
Kera;passenger stop;Kera;FI00621;60,2166, 24,7556;1970-01-01;3100-12-31
Koivuhovi;passenger stop;Koivuhovi;FI00675;60,2072, 24,7013;1970-01-01;3100-12-31
Mäkkylä;passenger stop;Mäkkylä;FI00693;60,2213, 24,843;1970-01-01;3100-12-31
Valimo;passenger stop;Valimo;FI00847;60,2222, 24,8758;1970-01-01;3100-12-31
Salo;small station;Salo;FI00055;60,3848, 23,1215;1970-01-01;3100-12-31
Pohjankuru;freight terminal;Pohjankuru;FI00059;60,0982, 23,5519;1970-01-01;3100-12-31
Karjaa;small station;Karjaa;FI00060;60,0687, 23,6613;1970-01-01;3100-12-31
Inkoo;passenger stop;Inkoo;FI00062;60,0615, 23,9359;1970-01-01;3100-12-31
Kirkkonummi;passenger terminal;Kirkkonummi;FI00063;60,1197, 24,4388;1970-01-01;3100-12-31
Masala;passenger stop;Masala;FI00064;60,1587, 24,5391;1970-01-01;3100-12-31
Kupittaa;passenger terminal;Kupittaa;FI00126;60,4503, 22,2971;1970-01-01;3100-12-31
Piikkiö;freight terminal;Piikkiö;FI00127;60,4231, 22,5159;1970-01-01;3100-12-31
Paimio;junction;Paimio;FI00128;60,4595, 22,6859;1970-01-01;3100-12-31
Turku asema;station;Turku asema;FI00130;60,454, 22,2526;1970-01-01;3100-12-31
Turku satama;station;Turku satama;FI00135;60,4343, 22,2269;1970-01-01;3100-12-31
Vammala;small station;Vammala;FI00176;61,3495, 22,8877;1970-01-01;3100-12-31
Karkku;passenger stop;Karkku;FI00178;61,4433, 23,0491;1970-01-01;3100-12-31
Siuro;junction;Siuro;FI00179;61,4745, 23,3391;1970-01-01;3100-12-31
Nokia;small station;Nokia;FI00181;61,4811, 23,4992;1970-01-01;3100-12-31
Siuntio;passenger stop;Siuntio;FI00576;60,1406, 24,2217;1970-01-01;3100-12-31
Jorvas;passenger stop;Jorvas;FI00578;60,1379, 24,5128;1970-01-01;3100-12-31
Suoniemi;junction;Suoniemi;FI00638;61,4653, 23,21;1970-01-01;3100-12-31
Kalkku;junction;Kalkku;FI00639;61,4966, 23,5723;1970-01-01;3100-12-31
Tolsa;passenger stop;Tolsa;FI00830;60,1176, 24,4702;1970-01-01;3100-12-31
Ervelä;junction;Ervelä;FI01004;60,2034, 23,2223;1970-01-01;3100-12-31
Heinoo;junction;Heinoo;FI01025;61,3943, 22,9711;1970-01-01;3100-12-31
Turku tavara;shunting yard;Turku tavara;FI01285;60,452, 22,2405;1970-01-01;3100-12-31
Pasila asema;station;Pasila asema;FI00010;60,1987, 24,9335;1970-01-01;3100-12-31
Kokemäki;small station;Kokemäki;FI00170;61,2542, 22,3034;1970-01-01;3100-12-31
Äetsä;junction;Äetsä;FI00174;61,2967, 22,7065;1970-01-01;3100-12-31
Harjavalta;small station;Harjavalta;FI00218;61,3097, 22,1333;1970-01-01;3100-12-31
Pori;small station;Pori;FI00220;61,4772, 21,7866;1970-01-01;3100-12-31
Mäntyluoto;freight terminal;Mäntyluoto;FI00223;61,59, 21,512;1970-01-01;3100-12-31
Nakkila;junction;Nakkila;FI00672;61,387, 21,9696;1970-01-01;3100-12-31
Ahvenus;junction;Ahvenus;FI01000;61,2919, 22,4982;1970-01-01;3100-12-31
Ilmala ratapiha;train technical services;Ilmala ratapiha;FI01030;60,2131, 24,9282;1970-01-01;3100-12-31
Pasila tavara;shunting yard;Pasila tavara;FI01034;60,2121, 24,9344;1970-01-01;3100-12-31
Pasila autojuna-asema;passenger terminal;Pasila autojuna-asema;FI01328;60,2083, 24,9332;1970-01-01;3100-12-31
Oulunkylä;passenger stop;Oulunkylä;FI00015;60,229, 24,9677;1970-01-01;3100-12-31
Malmi;passenger stop;Malmi;FI00017;60,2517, 25,0115;1970-01-01;3100-12-31
Tikkurila asema;station;Tikkurila asema;FI00018;60,2922, 25,0441;1970-01-01;3100-12-31
Korso;passenger stop;Korso;FI00019;60,3513, 25,0783;1970-01-01;3100-12-31
Kerava asema;small station;Kerava asema;FI00020;60,4043, 25,106;1970-01-01;3100-12-31
Järvenpää asema;small station;Järvenpää asema;FI00025;60,4737, 25,0908;1970-01-01;3100-12-31
Jokela;passenger stop;Jokela;FI00028;60,5528, 24,9707;1970-01-01;3100-12-31
Hyvinkää;small station;Hyvinkää;FI00030;60,6313, 24,8577;1970-01-01;3100-12-31
Riihimäki asema;small station;Riihimäki asema;FI00040;60,7361, 24,7813;1970-01-01;3100-12-31
Ryttylä;small station;Ryttylä;FI00042;60,818, 24,7582;1970-01-01;3100-12-31
Turenki;small station;Turenki;FI00044;60,9184, 24,6387;1970-01-01;3100-12-31
Hämeenlinna;small station;Hämeenlinna;FI00047;61,0024, 24,4789;1970-01-01;3100-12-31
Parola;small station;Parola;FI00049;61,0499, 24,3665;1970-01-01;3100-12-31
Pukinmäki;passenger stop;Pukinmäki;FI00551;60,2422, 24,9933;1970-01-01;3100-12-31
Tapanila;passenger stop;Tapanila;FI00552;60,2639, 25,03;1970-01-01;3100-12-31
Puistola;passenger stop;Puistola;FI00553;60,2763, 25,0367;1970-01-01;3100-12-31
Rekola;passenger stop;Rekola;FI00554;60,3329, 25,0687;1970-01-01;3100-12-31
Savio;passenger stop;Savio;FI00555;60,3813, 25,0978;1970-01-01;3100-12-31
Hiekkaharju;passenger stop;Hiekkaharju;FI00556;60,3031, 25,0491;1970-01-01;3100-12-31
Koivukylä;passenger stop;Koivukylä;FI00559;60,3233, 25,0598;1970-01-01;3100-12-31
Purola;junction;Purola;FI00564;60,5003, 25,0502;1970-01-01;3100-12-31
Ainola;passenger stop;Ainola;FI00628;60,4569, 25,1015;1970-01-01;3100-12-31
Saunakallio;small station;Saunakallio;FI00806;60,4873, 25,0656;1970-01-01;3100-12-31
Käpylä;passenger stop;Käpylä;FI00977;60,2202, 24,946;1970-01-01;3100-12-31
Kytömaa;junction;Kytömaa;FI01111;60,4256, 25,11;1970-01-01;3100-12-31
Riihimäki lajittelu;shunting yard;Riihimäki lajittelu;FI01238;60,7254, 24,7929;1970-01-01;3100-12-31
Riihimäki tavara;shunting yard;Riihimäki tavara;FI01240;60,7147, 24,8023;1970-01-01;3100-12-31
Toijala;small station;Toijala;FI00150;61,1706, 23,8609;1970-01-01;3100-12-31
Iittala;passenger stop;Iittala;FI00154;61,0906, 24,1408;1970-01-01;3100-12-31
Viiala;small station;Viiala;FI00155;61,2118, 23,7707;1970-01-01;3100-12-31
Lempäälä;passenger terminal;Lempäälä;FI00156;61,3142, 23,7551;1970-01-01;3100-12-31
Tampere asema;station;Tampere asema;FI00160;61,4982, 23,7735;1970-01-01;3100-12-31
Lielahti;junction;Lielahti;FI00183;61,5103, 23,6817;1970-01-01;3100-12-31
Ylöjärvi;freight terminal;Ylöjärvi;FI00211;61,5565, 23,586;1970-01-01;3100-12-31
Lakiala;junction;Lakiala;FI00212;61,6259, 23,527;1970-01-01;3100-12-31
Vahojärvi;junction;Vahojärvi;FI00214;61,913, 23,2322;1970-01-01;3100-12-31
Parkano;small station;Parkano;FI00215;62,052, 23,0785;1970-01-01;3100-12-31
Madesjärvi;junction;Madesjärvi;FI00217;62,3116, 22,9875;1970-01-01;3100-12-31
Laukaa;junction;Laukaa;FI00249;62,4228, 25,9244;1970-01-01;3100-12-31
Suolahti;freight terminal;Suolahti;FI00251;62,5614, 25,8515;1970-01-01;3100-12-31
Äänekoski;freight terminal;Äänekoski;FI00252;62,5969, 25,7476;1970-01-01;3100-12-31
Saarijärvi;freight terminal;Saarijärvi;FI00254;62,7001, 25,2831;1970-01-01;3100-12-31
Kannonkoski;freight terminal;Kannonkoski;FI00256;62,9836, 25,27;1970-01-01;3100-12-31
Keitelepohja;freight terminal;Keitelepohja;FI00257;63,1928, 25,548;1970-01-01;3100-12-31
Pihtipudas;freight terminal;Pihtipudas;FI00258;63,3718, 25,5563;1970-01-01;3100-12-31
Jalasjärvi;junction;Jalasjärvi;FI00276;62,4725, 22,9543;1970-01-01;3100-12-31
Seinäjoki asema;small station;Seinäjoki asema;FI00280;62,792, 22,8442;1970-01-01;3100-12-31
Selänpää;junction;Selänpää;FI00539;61,0077, 26,7141;1970-01-01;3100-12-31
Vuohijärvi;freight terminal;Vuohijärvi;FI00541;61,0959, 26,7962;1970-01-01;3100-12-31
Ratikylä;freight terminal;Ratikylä;FI00596;62,2454, 23,0112;1970-01-01;3100-12-31
Ylivalli;junction;Ylivalli;FI00654;62,4021, 22,9588;1970-01-01;3100-12-31
Peräseinäjoki;freight terminal;Peräseinäjoki;FI00687;62,5496, 22,942;1970-01-01;3100-12-31
Harju;junction;Harju;FI00985;60,9406, 26,6772;1970-01-01;3100-12-31
Hillosensalmi;junction;Hillosensalmi;FI00988;61,1931, 26,7892;1970-01-01;3100-12-31
Karhejärvi;junction;Karhejärvi;FI01095;61,75, 23,3904;1970-01-01;3100-12-31
Kuivasjärvi;junction;Kuivasjärvi;FI01137;62,1745, 23,0364;1970-01-01;3100-12-31
Lamminkoski;junction;Lamminkoski;FI01151;62,1078, 23,0612;1970-01-01;3100-12-31
Larvakytö;junction;Larvakytö;FI01153;62,6802, 22,9359;1970-01-01;3100-12-31
Majajärvi;junction;Majajärvi;FI01168;61,683, 23,4695;1970-01-01;3100-12-31
Poikkeus;junction;Poikkeus;FI01216;61,9891, 23,138;1970-01-01;3100-12-31
Seinäjoki tavara;shunting yard;Seinäjoki tavara;FI01252;62,7848, 22,8663;1970-01-01;3100-12-31
Sisättö;junction;Sisättö;FI01257;61,8381, 23,311;1970-01-01;3100-12-31
Tampere tavara;shunting yard;Tampere tavara;FI01273;61,4699, 23,764;1970-01-01;3100-12-31
Tampere Viinikka;shunting yard;Tampere Viinikka;FI01274;61,4803, 23,7736;1970-01-01;3100-12-31
Murtomäki;junction;Murtomäki;FI00386;64,0644, 27,5796;1970-01-01;3100-12-31
Kajaani;small station;Kajaani;FI00387;64,2197, 27,7384;1970-01-01;3100-12-31
Pieksämäki asema;small station;Pieksämäki asema;FI00400;62,3013, 27,1675;1970-01-01;3100-12-31
Haapakoski;junction;Haapakoski;FI00402;62,4524, 27,1755;1970-01-01;3100-12-31
Suonenjoki;small station;Suonenjoki;FI00404;62,6237, 27,1245;1970-01-01;3100-12-31
Salminen;junction;Salminen;FI00405;62,6762, 27,2861;1970-01-01;3100-12-31
Kurkimäki;freight terminal;Kurkimäki;FI00406;62,7719, 27,5176;1970-01-01;3100-12-31
Kuopio asema;small station;Kuopio asema;FI00408;62,8972, 27,6796;1970-01-01;3100-12-31
Toivala;freight terminal;Toivala;FI00412;62,996, 27,7236;1970-01-01;3100-12-31
Siilinjärvi asema;small station;Siilinjärvi asema;FI00413;63,075, 27,6666;1970-01-01;3100-12-31
Alapitkä;freight terminal;Alapitkä;FI00415;63,2008, 27,5354;1970-01-01;3100-12-31
Lapinlahti;small station;Lapinlahti;FI00416;63,3607, 27,3936;1970-01-01;3100-12-31
Iisalmi;small station;Iisalmi;FI00420;63,5601, 27,2011;1970-01-01;3100-12-31
Soinlahti;freight terminal;Soinlahti;FI00422;63,6342, 27,2045;1970-01-01;3100-12-31
Kauppilanmäki;freight terminal;Kauppilanmäki;FI00423;63,7096, 27,2279;1970-01-01;3100-12-31
Sukeva;small station;Sukeva;FI00424;63,8646, 27,4223;1970-01-01;3100-12-31
Mäntyharju;small station;Mäntyharju;FI00544;61,4211, 26,8818;1970-01-01;3100-12-31
Otava;freight terminal;Otava;FI00545;61,6408, 27,0716;1970-01-01;3100-12-31
Mikkeli;small station;Mikkeli;FI00546;61,6878, 27,278;1970-01-01;3100-12-31
Kalvitsa;freight terminal;Kalvitsa;FI00548;61,9106, 27,2851;1970-01-01;3100-12-31
