route_id,agency_id,route_short_name,route_long_name,route_type,route_url
1074000000001,74,,SJ Regionaltåg,102,
1074000000002,74,,SJ Regionaltåg,102,
1074000000003,74,,SJ Regionaltåg,102,
1074000000004,74,,SJ Regionaltåg,102,
1074000000005,74,,SJ Regionaltåg,102,
1074000000006,74,,SJ Regionaltåg,102,
1074000000007,74,,SJ Regionaltåg,102,
1074000000008,74,,SJ Regionaltåg,102,
1074000000009,74,,SJ Regionaltåg,102,
1074000000010,74,,SJ Regionaltåg,102,
1074000000011,74,,SJ Regionaltåg,102,
1074000000012,74,,SJ Regionaltåg,102,
1074000000013,74,,SJ Regionaltåg,102,
1074000000014,74,,SJ Regionaltåg,102,
1074000000015,74,,SJ InterCity,102,
1074000000016,74,,SJ InterCity,102,
1074000000017,74,,SJ InterCity,102,
1074000000018,74,,SJ InterCity,102,
1074000000019,74,,SJ InterCity,102,
1074000000020,74,,SJ InterCity,102,
1074000000021,74,,SJ InterCity,102,
1074000000022,74,,SJ Snabbtåg X2000,101,
1074000000023,74,,SJ Snabbtåg X2000,101,
1074000000024,74,,SJ Snabbtåg X2000,101,
1074000000025,74,,SJ Snabbtåg X2000,101,
1074000000026,74,,SJ Snabbtåg X2000,101,
1074000000027,74,,SJ Snabbtåg X2000,101,
1074000000028,74,,SJ Snabbtåg X2000,101,
1074000000029,74,,SJ Snabbtåg X2000,101,
1074000000030,74,,SJ Snabbtåg X2000,101,
1074000000031,74,,SJ Snabbtåg X2000,101,
1074000000032,74,,SJ Snabbtåg X2000,101,
1074000000033,74,,SJ Snabbtåg X2000,101,
1074000000034,74,,SJ Snabbtåg X2000,101,
1074000000035,74,,SJ Regionaltåg,102,
1074000000036,74,,SJ Regionaltåg,102,
1074000000037,74,,SJ Regionaltåg,102,
1074000000038,74,,SJ Regionaltåg,102,
1074000000039,74,,SJ Regionaltåg,102,
1074000000070,74,,SJ InterCity,102,
1074000000071,74,,SJ InterCity,102,
1074000000072,74,,SJ InterCity,102,
1074000000073,74,,SJ InterCity,102,
1074000000074,74,,SJ InterCity,102,
1074000000075,74,,SJ InterCity,102,
1074000000076,74,,SJ InterCity,102,
1074000000077,74,,SJ InterCity,102,
1074000000078,74,,SJ InterCity,102,
1074000000079,74,,SJ InterCity,102,
1074000000080,74,,SJ InterCity,102,
1074000000081,74,,SJ InterCity,102,
1074000000082,74,,SJ InterCity,102,
1074000000083,74,,SJ InterCity,102,
1074000000084,74,,SJ InterCity,102,
1074000000085,74,,SJ InterCity,102,
1074000000086,74,,SJ InterCity,102,
1074000000087,74,,SJ InterCity,102,
1074000000088,74,,SJ InterCity,102,
1074000000089,74,,SJ InterCity,102,
1074000000090,74,,SJ Regionaltåg,102,
1074000000091,74,,SJ Regionaltåg,102,
1074000000092,74,,SJ Regionaltåg,102,
1074000000093,74,,SJ Regionaltåg,102,
1074000000094,74,,SJ Regionaltåg,102,
1074000000095,74,,SJ Regionaltåg,102,
1074000000096,74,,SJ Regionaltåg,102,
1074000000097,74,,SJ Regionaltåg,102,
1074000000098,74,,SJ Regionaltåg,102,
1074000000099,74,,SJ Regionaltåg,102,
1074000000100,74,,SJ Regionaltåg,102,
1074000000101,74,,SJ Regionaltåg,102,
1074000000102,74,,SJ Regionaltåg,102,
1074000000103,74,,SJ Regionaltåg,102,
1074000000104,74,,SJ InterCity,102,
1074000000105,74,,SJ InterCity,102,
1074000000106,74,,SJ InterCity,102,
1074000000107,74,,SJ Regionaltåg,102,
1074000000108,74,,SJ Regionaltåg,102,
1074000000109,74,,SJ Regionaltåg,102,
1074000000110,74,,SJ Regionaltåg,102,
1074000000111,74,,SJ Regionaltåg,102,
1074000000112,74,,SJ Snabbtåg SJ3000,101,
1074000000113,74,,SJ Snabbtåg SJ3000,101,
1074000000114,74,,SJ Snabbtåg SJ3000,101,
1074000000115,74,,SJ Snabbtåg SJ3000,101,
1074000000116,74,,SJ Snabbtåg SJ3000,101,
1074000000117,74,,SJ Snabbtåg SJ3000,101,
1074000000118,74,,SJ Snabbtåg X2000,101,
1074000000119,74,,SJ Snabbtåg X2000,101,
1074000000120,74,,SJ Snabbtåg X2000,101,
1074000000122,74,,SJ InterCity,102,
1074000000123,74,,SJ InterCity,102,
1074000000124,74,,SJ InterCity,102,
1074000000125,74,,SJ InterCity,102,
1074000000126,74,,SJ InterCity,102,
1074000000127,74,,SJ InterCity,102,
1074000000128,74,74,,102,
1074000000129,74,,SJ Regionaltåg,102,
1074000000151,74,,SJ Snabbtåg SJ3000,101,
1074000000162,74,,SJ Regionaltåg,102,
1074000000163,74,,SJ Regionaltåg,102,
1074000000164,74,,SJ Snabbtåg X2000,101,
1074000000168,74,,SJ InterCity,102,
1074000000169,74,,SJ InterCity,102,
1074000000170,74,,SJ InterCity,102,
1074000000171,74,,SJ InterCity,102,
1074000000172,74,,SJ InterCity,102,
1074000000173,74,,SJ InterCity,102,
1074000000174,74,,SJ InterCity,102,
1074000000175,74,,SJ InterCity,102,
1074000000182,74,,SJ InterCity,102,
1074000000183,74,,SJ InterCity,102,
1074000000184,74,,SJ InterCity,102,
1074000000185,74,,SJ InterCity,102,
1074000000186,74,,SJ Regionaltåg,102,
1074000000187,74,,SJ Regionaltåg,102,
1074000000188,74,,SJ Regionaltåg,102,
1074000000189,74,,SJ Regionaltåg,102,
1074000000190,74,,SJ Regionaltåg,102,
